Brand Name,Screen Size,Discounted Price,Original Price,Discount Percentage,Rating,Supported Apps,OS,Speaker Output,Resolution,Refresh Rate,Product Name
VU,55.0,43999.0,56000.0,21.0,4.4,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,30 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Vu Premium 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV
IFFALCON,55.0,36999.0,106990.0,65.0,4.3,Netflix|Disney+Hotstar|Youtube,Android,30 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV with HandsFree Voice Search
IFFALCON,43.0,29999.0,47990.0,37.0,4.2,Netflix|Disney+Hotstar|Youtube,Android,24 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,iFFALCON by TCL 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV
REALME,55.0,44999.0,69999.0,36.0,4.3,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,24 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,realme SLED 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV
TOSHIBA,43.0,30999.0,39990.0,22.0,4.3,Netflix|Prime Video|Youtube,VIDAA,24 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,TOSHIBA U50 Series 108 cm (43 inch) Ultra HD (4K) LED Smart TV with Dolby Vision & ATMOS
NOKIA,65.0,64999.0,79999.0,19.0,4.3,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,48 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Nokia 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo
SAMSUNG,50.0,72999.0,112900.0,35.0,4.6,Netflix|Prime Video|Apple TV|Disney+Hotstar|Youtube,Tizen,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,SAMSUNG The Frame 2020 Series 125 cm (50 inch) QLED Ultra HD (4K) Smart TV
MOTOROLA,50.0,37999.0,54050.0,30.0,4.3,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,30 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,MOTOROLA ZX 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad
MI,43.0,29999.0,34999.0,14.0,4.4,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Mi 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV
MI,55.0,44999.0,49999.0,10.0,4.4,Netflix|Prime Video|Disney+Hotstar|Youtube,Android Based,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Mi 4X 138.8 cm (55 inch) Ultra HD (4K) LED Smart TV
VU,43.0,30999.0,50000.0,38.0,4.4,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,24W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV
MOTOROLA,50.0,38999.0,54999.0,29.0,4.4,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,50 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,MOTOROLA ZX Pro 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad
NOKIA,43.0,31999.0,45999.0,30.0,4.3,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,39 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Nokia 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo
VU,85.0,279999.0,350000.0,20.0,4.6,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,50 W,Ultra HD (4K) 3840 x 2160 Pixels,120 Hz Refresh Rate,Vu Masterpiece 215 cm (85 inch) QLED Ultra HD (4K) Smart Android TV
PHILIPS,65.0,79999.0,199990.0,60.0,5.0,Netflix|Youtube,Linux based,20 W,Ultra HD (4K) 3840 x 2160 Pixels,64 Hz Refresh Rate,PHILIPS 164 cm (65 inch) Ultra HD (4K) LED Smart TV
MOTOROLA,43.0,30999.0,46050.0,33.0,4.3,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,MOTOROLA ZX 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad
THOMSON,55.0,29999.0,49999.0,40.0,4.1,Netflix|Disney+Hotstar|Youtube,Android Based,24 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Thomson 140 cm (55 inch) Ultra HD (4K) LED Smart TV
SAMSUNG,65.0,129999.0,222900.0,42.0,4.6,Netflix|Prime Video|Apple TV|Disney+Hotstar|Youtube,Tizen,40 W,Ultra HD (4K) 3840 x 2160 Pixels,120 Hz Refresh Rate,SAMSUNG The Frame 2020 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV
IFFALCON,65.0,59999.0,99999.0,40.0,4.4,Netflix|Disney+Hotstar|Youtube,Android,16 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,iFFALCON by TCL 163.82 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Micro Dimming and Google A...
IFFALCON,75.0,149999.0,239999.0,38.0,4.2,Netflix|Disney+Hotstar|Youtube,Android,30 W,Ultra HD (4K) 3840 x 2160 Pixels,120 Hz Refresh Rate,iFFALCON by TCL 189.3 cm (75 inch) Ultra HD (4K) LED Smart Android TV with Harman Kardon Speakers and ...
ONIDA,58.0,49999.0,79990.0,37.0,4.2,Disney+Hotstar|Youtube,Android,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,ONIDA Google Certified 147.32 cm (58 inch) Ultra HD (4K) LED Smart Android TV
MOTOROLA,55.0,43999.0,61999.0,29.0,4.4,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,50 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,MOTOROLA ZX Pro 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad
IFFALCON,55.0,43699.0,70990.0,38.0,4.2,Netflix|Disney+Hotstar|Youtube,Android,24 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV
IFFALCON,50.0,37699.0,58990.0,36.0,4.2,Netflix|Disney+Hotstar|Youtube,Android,24 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,iFFALCON by TCL 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV
NOKIA,55.0,41999.0,59999.0,30.0,4.3,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,48 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Nokia 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo
ONEPLUS,55.0,52999.0,59999.0,12.0,4.3,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,30 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,OnePlus U1S 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV
MOTOROLA,50.0,37999.0,54050.0,30.0,4.3,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,30 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,MOTOROLA ZX 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad
IFFALCON,55.0,43699.0,70990.0,38.0,4.2,Netflix|Disney+Hotstar|Youtube,Android,24 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV
VU,85.0,279999.0,350000.0,20.0,4.6,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,50 W,Ultra HD (4K) 3840 x 2160 Pixels,120 Hz Refresh Rate,Vu Masterpiece 215 cm (85 inch) QLED Ultra HD (4K) Smart Android TV
PHILIPS,65.0,79999.0,199990.0,60.0,5.0,Netflix|Youtube,Linux based,20 W,Ultra HD (4K) 3840 x 2160 Pixels,64 Hz Refresh Rate,PHILIPS 164 cm (65 inch) Ultra HD (4K) LED Smart TV
MOTOROLA,43.0,30999.0,46050.0,33.0,4.3,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,MOTOROLA ZX 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad
IFFALCON,55.0,36999.0,106990.0,65.0,4.3,Netflix|Disney+Hotstar|Youtube,Android,30 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV with HandsFree Voice Search
IFFALCON,43.0,29990.0,76990.0,61.0,4.3,Netflix|Disney+Hotstar|Youtube,Android,30 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,iFFALCON by TCL 107.9 cm (43 inch) Ultra HD (4K) LED Smart Android TV with HandsFree Voice Search
THOMSON,55.0,29999.0,49999.0,40.0,4.1,Netflix|Disney+Hotstar|Youtube,Android Based,24 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Thomson 140 cm (55 inch) Ultra HD (4K) LED Smart TV
SAMSUNG,65.0,129999.0,222900.0,42.0,4.6,Netflix|Prime Video|Apple TV|Disney+Hotstar|Youtube,Tizen,40 W,Ultra HD (4K) 3840 x 2160 Pixels,120 Hz Refresh Rate,SAMSUNG The Frame 2020 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV
IFFALCON,65.0,59999.0,99999.0,40.0,4.4,Netflix|Disney+Hotstar|Youtube,Android,16 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,iFFALCON by TCL 163.82 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Micro Dimming and Google A...
SAMSUNG,43.0,38999.0,52900.0,26.0,4.2,Netflix|Disney+Hotstar|Youtube,Tizen,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart TV
THOMSON,55.0,37999.0,46999.0,19.0,4.4,Prime Video|Disney+Hotstar|Youtube,Android,24 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Thomson 9R Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV
IFFALCON,55.0,63499.0,126990.0,50.0,4.3,Netflix|Disney+Hotstar|Youtube,Android,30 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,iFFALCON 138.6 cm (55 inch) QLED Ultra HD (4K) Smart Android TV HandsFree Voice Search
VU,50.0,36999.0,60000.0,38.0,4.4,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,30 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Vu Premium 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV
MOTOROLA,55.0,44999.0,49999.0,10.0,4.4,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,50 W,Ultra HD (4K) 3840 × 2160 Pixels,60 Hz Refresh Rate,MOTOROLA Revou 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision
IFFALCON,75.0,149999.0,239999.0,38.0,4.2,Netflix|Disney+Hotstar|Youtube,Android,30 W,Ultra HD (4K) 3840 x 2160 Pixels,120 Hz Refresh Rate,iFFALCON by TCL 189.3 cm (75 inch) Ultra HD (4K) LED Smart Android TV with Harman Kardon Speakers and ...
ONIDA,58.0,49999.0,79990.0,37.0,4.2,Disney+Hotstar|Youtube,Android,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,ONIDA Google Certified 147.32 cm (58 inch) Ultra HD (4K) LED Smart Android TV
MICROMAX,43.0,26499.0,43990.0,40.0,4.3,Netflix|Disney+Hotstar|Youtube,Android,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Micromax 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV
IFFALCON,43.0,29999.0,47990.0,37.0,4.4,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,iFFALCON by TCL AI Powered K31 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with HDR 10
